dep_var,fiscal_var,label,coef,se,pval,r2,n_obs
T10_yield,debt_pct_GDP,Debt,0.0008103682239428422,0.0061129163628187945,0.8948960021442072,0.9510158700078526,80
T10_yield,deficit_pct_GDP,Deficit,-0.05880457438869946,0.05603624115843137,0.29740809869061424,0.9522654475981543,80
fwd_5_10y,debt_pct_GDP,Debt,0.0013688711052118607,0.008219223877417067,0.8681822608892706,0.9081205497752994,80
fwd_5_10y,deficit_pct_GDP,Deficit,-0.048690968390524725,0.06628525081039258,0.4649245541314113,0.9090141596376541,80
fwd_10_15y,debt_pct_GDP,Debt,0.003297870484203838,0.008621284544397551,0.7031673116404638,0.8982676747828104,80
fwd_10_15y,deficit_pct_GDP,Deficit,-0.050447711363040604,0.067450772642758,0.45687937135492684,0.8990594897394347,80
tprem_5y,debt_pct_GDP,Debt,0.0006000003210852051,0.005279753997180305,0.909829566927955,0.7783024455811428,80
tprem_5y,deficit_pct_GDP,Deficit,-0.024263655160010493,0.04355698133185192,0.5791705285205682,0.7797222644137134,80
tprem_10y,debt_pct_GDP,Debt,0.0022613023178441605,0.0067570146586196835,0.7388283241490541,0.766452042182166,80
tprem_10y,deficit_pct_GDP,Deficit,-0.0344946542801766,0.05384296748681799,0.523727207480899,0.7676992465698932,80
