,count,mean,std,min,max,range
T10_yield,108.0,3.4087658146271935,1.3387297752005105,0.650625,6.468412698412698,5.817787698412698
tprem_5y,108.0,0.3502699195477771,0.7767841460115714,-1.0248316361206622,1.7812486595640158,2.806080295684678
tprem_10y,108.0,0.7198184909954356,1.0547440302812134,-1.2016285089822816,2.558957214102964,3.7605857230852457
fwd_5_10y,108.0,4.207771890899898,1.4401127076664055,1.0070622380202015,6.8149877817183,5.807925543698099
fwd_10_15y,108.0,4.620241511458122,1.4345606919537903,1.5575710919996102,6.969128207694986,5.411557115695376
debt_pct_GDP,108.0,72.8911652467762,23.89483816547571,32.69431958536783,99.37545997014361,66.68114038477577
deficit_pct_GDP,108.0,-5.523882975521168,3.194800760904648,-14.700881459358314,-1.1233609744589008,13.577520484899413
real_gdp_growth,107.0,2.319977602944347,2.119091232920599,-7.39861495878491,12.385669309432568,19.78428426821748
foreign_holdings_share,108.0,0.2656259610274495,0.04879533848237151,0.17115907583053047,0.3405055516998395,0.169346475869309
excess_bond_premium,108.0,0.0791536310259014,0.6514484724736482,-0.7803327870531594,3.3307167158161,4.1110495028692595
pop_growth,108.0,0.8567796372851986,0.23639860294096343,0.17321955364428,1.05021724046421,0.8769976868199301
