baseline_date,projected_fiscal_year,primary_balance_billions,GDP,primary_balance_pct_GDP
1992-01-01,1996,81.99200000000019,7951.325,1.0311740496080866
1992-03-01,1996,72.67299999999977,7951.325,0.9139734572539769
1992-08-01,1996,8.79600000000005,7951.325,0.11062307225525368
1993-01-01,1997,-49.34699999999998,8451.025,-0.5839173354711408
1993-03-01,1997,-51.11200000000008,8451.025,-0.6048023760431437
1993-09-01,1997,43.94699999999989,8451.025,0.5200197609165739
1994-01-01,1998,69.21399999999994,8930.8,0.7750033591615526
1994-08-01,1998,67.10199999999986,8930.8,0.7513548618264867
1995-01-01,1999,40.4670000000001,9479.625,0.42688397484077795
1995-08-01,1999,26.985000000000127,9479.625,0.2846631591439548
1995-12-01,2000,51.89099999999985,10117.075,0.512905162806442
1996-05-01,2000,38.67399999999975,10117.075,0.3822646367650704
1997-01-01,2001,104.83500000000004,10525.725,0.9959883998489418
1997-03-01,2001,104.24799999999982,10525.725,0.9904115868503103
1997-09-01,2001,203.15499999999997,10525.725,1.9300808257863469
1998-01-01,2002,300.62800000000016,10828.875,2.776170193117938
1998-03-01,2002,297.20299999999975,10828.875,2.7445417921990947
1998-08-01,2002,347.53300000000013,10828.875,3.2093176807378434
1999-01-01,2003,392.087,11278.75,3.476333813587498
1999-07-01,2003,426.01800000000003,11278.75,3.7771738889504602
2000-01-01,2004,506.72800000000007,12028.425,4.212754371416042
2000-07-01,2004,610.518,12028.425,5.075627108287245
2001-01-01,2005,549.021,12839.95,4.2758811366087865
2001-05-01,2005,553.5980000000002,12839.95,4.311527692864849
2001-08-01,2005,399.1229999999998,12839.95,3.1084466839824128
2002-01-01,2006,310.2399999999998,13636.75,2.2750288741818965
2002-03-01,2006,312.91799999999967,13636.75,2.2946669844354384
2002-08-01,2006,227.7750000000001,13636.75,1.6703026747575491
2003-01-01,2007,242.90099999999984,14305.375,1.6979701685555244
2003-03-01,2007,215.163,14305.375,1.5040710222556208
2003-08-01,2007,51.91100000000006,14305.375,0.36287758971715217
2004-01-01,2008,3.413000000000011,14796.575,0.02306614875401916
2004-03-01,2008,-3.6410000000000764,14796.575,-0.024607045887308897
2004-09-01,2008,-36.62599999999975,14796.575,-0.24753025615725088
2005-01-01,2009,82.096,14467.3,0.5674590282913883
2005-03-01,2009,71.42900000000009,14467.3,0.4937272331395636
2005-08-01,2009,-26.572999999999865,14467.3,-0.18367629066930158
2006-01-01,2010,66.9699999999998,14884.4,0.44993415925398267
2006-03-01,2010,70.65299999999979,14884.4,0.47467818655773697
2006-08-01,2010,-32.715999999999894,14884.4,-0.21980059659777954
2007-01-01,2011,256.3989999999999,15466.525,1.6577673394637769
2007-03-01,2011,235.69000000000005,15466.525,1.5238717164974036
2007-08-01,2011,156.1529999999998,15466.525,1.0096191613824035
2008-01-01,2012,372.58299999999963,16109.425,2.3128261871544122
2008-03-01,2012,386.672,16109.425,2.4002843056161223
2008-09-01,2012,201.8499999999999,16109.425,1.25299320118502
2009-01-01,2013,106.78399999999965,16687.775,0.6398935747875294
2009-03-01,2013,33.817999999999756,16687.775,0.20265134207526023
2009-08-01,2013,-150.78300000000036,16687.775,-0.9035536493031596
2010-01-01,2014,-72.79899999999998,17428.1,-0.41771047905394154
2010-03-01,2014,-57.1880000000001,17428.1,-0.32813674468243875
2010-08-01,2014,-24.07400000000007,17428.1,-0.13813324458776385
2011-01-01,2015,-88.0590000000002,18164.25,-0.48479293116974387
2011-03-01,2015,-71.73999999999978,18164.25,-0.39495162200476086
2011-08-01,2015,18.230000000000018,18164.25,0.10036197475811012
2012-01-01,2016,41.128999999999905,18641.325,0.22063345819033736
2012-03-01,2016,86.91000000000031,18641.325,0.4662222240103657
2012-08-01,2016,101.53200000000015,18641.325,0.5446608543115907
2013-02-01,2017,-120.91699999999992,19375.175,-0.6240821050648571
2013-05-01,2017,-80.99000000000024,19375.175,-0.41800912765949333
2014-02-01,2018,-159.21200000000044,20436.325,-0.7790637504541567
2014-04-01,2018,-133.8720000000003,20436.325,-0.6550688541114916
2014-08-01,2018,-146.49899999999934,20436.325,-0.716855892632356
2015-01-01,2019,-170.00599999999986,21286.15,-0.7986695574352329
2015-03-01,2019,-132.8640000000005,21286.15,-0.6241805117412048
2015-08-01,2019,-156.2739999999999,21286.15,-0.7341581262933874
2016-01-01,2020,-311.43299999999954,21336.775,-1.4596067118859317
2016-03-01,2020,-296.13400000000047,21336.775,-1.3879042170149913
2016-08-01,2020,-307.92500000000064,21336.775,-1.4431656142973839
2017-01-01,2021,-361.4829999999997,23044.05,-1.568660890772237
2017-06-01,2021,-398.62400000000025,23044.05,-1.7298348163625763
2018-04-01,2022,-631.7429999999999,25565.375,-2.4710883372530223
2018-05-01,2022,-631.2210000000009,25565.375,-2.4690465131061092
2019-01-01,2023,-498.1779999999999,27397.95,-1.8183039241987078
2019-05-01,2023,-484.0550000000003,27397.95,-1.7667562719108556
2019-08-01,2023,-672.4609999999993,27397.95,-2.454420859954848
2020-01-01,2024,-633.4219999999996,28947.9,-2.188144908611677
2020-03-01,2024,-619.9300000000003,28947.9,-2.1415370372289537
2020-09-01,2024,-802.0949999999993,28947.9,-2.7708227539821517
2021-02-01,2025,-724.0340000000006,30362.025,-2.3846696654785067
2021-07-01,2025,-594.0209999999997,30362.025,-1.956460413954602
2022-05-01,2026,-676.3530000000001,31902.0,-2.1200959187511756
2023-02-01,2027,-801.7540000000008,33315.0,-2.406585622092153
2023-05-01,2027,-795.232,33315.0,-2.3870088548701784
2024-02-01,2028,-732.8999999999996,34666.0,-2.114175272601395
2024-06-01,2028,-802.0479999999998,34666.0,-2.3136444931633293
2025-01-01,2029,-684.1320000000005,36010.0,-1.899838933629549
