baseline_date,projected_fiscal_year,deficit_billions,GDP,deficit_pct_GDP,fiscal_balance_billions,fiscal_balance_pct_GDP,primary_balance_billions,primary_balance_pct_GDP,debt_billions,debt_pct_GDP
1984-02-01,1988,-287.7,5138.55,-5.598855708322386,-287.7,-5.598855708322386,,,2316.0,45.07108036313746
1985-02-01,1989,-279.571,5554.675,-5.033075742505187,-279.571,-5.033075742505187,,,2519.0,45.34918784627363
1986-02-01,1990,-121.316,5898.75,-2.0566391184573,-121.316,-2.0566391184573,,,2331.0,39.51684678957406
1987-02-01,1991,-109.498,6093.175,-1.7970598251322176,-109.498,-1.7970598251322176,,,2485.0,40.78333545319148
1988-03-01,1992,-153.926,6416.25,-2.399002532631989,-153.926,-2.399002532631989,,,2700.0,42.08065458796026
1989-02-01,1993,-135.178,6775.325,-1.9951515240966302,-135.178,-1.9951515240966302,,,2758.0,40.70653437288986
1990-03-01,1994,-121.459,7176.85,-1.6923720016441754,-121.459,-1.6923720016441754,,,2878.0,40.10115858628785
1991-03-01,1995,-68.765,7560.425,-0.9095388156089108,-68.765,-0.9095388156089108,,,3451.0,45.64558209359924
1992-01-01,1996,-178.297,7951.325,-2.2423558337761316,-178.297,-2.2423558337761316,81.99200000000019,1.0311740496080866,,
1992-03-01,1996,-188.831,7951.325,-2.374836898252807,-188.831,-2.374836898252807,72.67299999999977,0.9139734572539769,4061.0,51.07324879815628
1992-08-01,1996,-254.387,7951.325,-3.1993032607772918,-254.387,-3.1993032607772918,8.79600000000005,0.11062307225525368,,
1993-01-01,1997,-319.212,8451.025,-3.77719862383557,-319.212,-3.77719862383557,-49.34699999999998,-0.5839173354711408,,
1993-03-01,1997,-321.679,8451.025,-3.8063903490996656,-321.679,-3.8063903490996656,-51.11200000000008,-0.6048023760431437,4484.0,53.05865264864321
1993-09-01,1997,-198.136,8451.025,-2.344520339248789,-198.136,-2.344520339248789,43.94699999999989,0.5200197609165739,,
1994-01-01,1998,-180.009,8930.8,-2.01559770681238,-180.009,-2.01559770681238,69.21399999999994,0.7750033591615526,,
1994-04-01,1998,-187.233,8930.8,-2.096486317015273,-187.233,-2.096486317015273,,,4260.0,47.7000940565235
1994-08-01,1998,-196.746,8930.8,-2.203005329869665,-196.746,-2.203005329869665,67.10199999999986,0.7513548618264867,,
1995-01-01,1999,-253.221,9479.625,-2.671213260018197,-253.221,-2.671213260018197,40.4670000000001,0.42688397484077795,,
1995-04-01,1999,-266.29,9479.625,-2.8090773632923245,-266.29,-2.8090773632923245,,,4621.0,48.746654007938076
1995-08-01,1999,-260.95,9479.625,-2.7527460210715082,-260.95,-2.7527460210715082,26.985000000000127,0.2846631591439548,,
1995-12-01,2000,-203.776,10117.075,-2.014178999364935,-203.776,-2.014178999364935,51.89099999999985,0.512905162806442,,
1996-05-01,2000,-244.414,10117.075,-2.4158563616460285,-244.414,-2.4158563616460285,38.67399999999975,0.3822646367650704,4687.0,46.327619395922234
1997-01-01,2001,-167.192,10525.725,-1.5884131496880263,-167.192,-1.5884131496880263,104.83500000000004,0.9959883998489418,,
1997-03-01,2001,-166.64,10525.725,-1.5831688553520062,-166.64,-1.5831688553520062,104.24799999999982,0.9904115868503103,4534.0,43.075417607813236
1997-09-01,2001,-36.223,10525.725,-0.344137814734852,-36.223,-0.344137814734852,203.15499999999997,1.9300808257863469,,
1998-01-01,2002,69.4,10828.875,0.6408791310269996,69.4,0.6408791310269996,300.62800000000016,2.776170193117938,,
1998-03-01,2002,66.747,10828.875,0.6163798178481144,66.747,0.6163798178481144,297.20299999999975,2.7445417921990947,3743.0,34.56499405524581
1998-08-01,2002,138.613,10828.875,1.2800313975366786,138.613,1.2800313975366786,347.53300000000013,3.2093176807378434,,
1999-01-01,2003,209.447,11278.75,1.8570054305663306,209.447,1.8570054305663306,392.087,3.476333813587498,,
1999-04-01,2003,212.626,11278.75,1.88519117810041,212.626,1.88519117810041,,,2979.0,26.412501385348552
1999-07-01,2003,247.427,11278.75,2.1937448742103514,247.427,2.1937448742103514,426.01800000000003,3.7771738889504602,,
2000-01-01,2004,345.047,12028.425,2.8685966782849794,345.047,2.8685966782849794,506.72800000000007,4.212754371416042,,
2000-04-01,2004,347.792,12028.425,2.8914176211765046,347.792,2.8914176211765046,,,2285.0,18.996668308610644
2000-07-01,2004,477.876,12028.425,3.9728892186632914,477.876,3.9728892186632914,610.518,5.075627108287245,,
2001-01-01,2005,432.94,12839.95,3.371819983722678,432.94,3.371819983722678,549.021,4.2758811366087865,,
2001-05-01,2005,436.787,12839.95,3.4017811595839547,436.787,3.4017811595839547,553.5980000000002,4.311527692864849,1738.0,13.535878254977627
2001-08-01,2005,244.39,12839.95,1.9033563214810023,244.39,1.9033563214810023,399.1229999999998,3.1084466839824128,,
2002-01-01,2006,127.881,13636.75,0.9377674299228188,127.881,0.9377674299228188,310.2399999999998,2.2750288741818965,,
2002-03-01,2006,135.396,13636.75,0.9928758685170587,135.396,0.9928758685170587,312.91799999999967,2.2946669844354384,3099.0,22.725356114910078
2002-08-01,2006,15.172,13636.75,0.11125818101820448,15.172,0.11125818101820448,227.7750000000001,1.6703026747575491,,
2003-01-01,2007,26.114,14305.375,0.1825467700077768,26.114,0.1825467700077768,242.90099999999984,1.6979701685555244,,
2003-03-01,2007,-8.67,14305.375,-0.06060659018026441,-8.67,-0.06060659018026441,215.163,1.5040710222556208,4233.0,29.590276382129094
2003-08-01,2007,-202.94,14305.375,-1.4186276137465812,-202.94,-1.4186276137465812,51.91100000000006,0.36287758971715217,,
2004-01-01,2008,-277.529,14796.575,-1.87563000221335,-277.529,-1.87563000221335,3.413000000000011,0.02306614875401916,,
2004-03-01,2008,-285.884,14796.575,-1.9320957721634904,-285.884,-1.9320957721634904,-3.6410000000000764,-0.024607045887308897,5633.0,38.06962084130956
2004-09-01,2008,-317.975,14796.575,-2.1489770436739586,-317.975,-2.1489770436739586,-36.62599999999975,-0.24753025615725088,,
2005-01-01,2009,-207.385,14467.3,-1.4334741105804123,-207.385,-1.4334741105804123,82.096,0.5674590282913883,,
2005-03-01,2009,-218.897,14467.3,-1.5130466638557298,-218.897,-1.5130466638557298,71.42900000000009,0.4937272331395636,5737.0,39.654945981627534
